ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ps-1_dog-1-1,ps-1_dog-1,kalb-,1,false,expert,,,,
akkadian-1_dog-1-1,akkadian-1_dog-1,kalbu,1,false,expert,,,,
ugaritic-1_dog-1-1,ugaritic-1_dog-1,klb,1,false,expert,,,,
phoenician-1_dog-1-1,phoenician-1_dog-1,klb,1,false,expert,,,,
hebrew-1_dog-1-1,hebrew-1_dog-1,kælæb,1,false,expert,,,,
officialaramaic-1_dog-1-1,officialaramaic-1_dog-1,klb,1,false,expert,,,,
hatran-1_dog-1-1,hatran-1_dog-1,klb,1,false,expert,,,,
jewishpalestinianaramaic-1_dog-1-1,jewishpalestinianaramaic-1_dog-1,klb,1,false,expert,,,,
christianpalestinianaramaic-1_dog-1-1,christianpalestinianaramaic-1_dog-1,klb,1,false,expert,,,,
samaritan-1_dog-1-1,samaritan-1_dog-1,klb,1,false,expert,,,,
jewishbabylonianaramaic-1_dog-1-1,jewishbabylonianaramaic-1_dog-1,kalbaː,1,false,expert,,,,
syriac-1_dog-1-1,syriac-1_dog-1,kalbaː,1,false,expert,,,,
mandaic-1_dog-1-1,mandaic-1_dog-1,kalba,1,false,expert,,,,
maalula-1_dog-1-1,maalula-1_dog-1,xalpa,1,false,expert,,,,
mlahso-2_hunddog-1-1,mlahso-2_hunddog-1,kalbo,1,false,expert,,,,
turoyo-2_hunddog-1-1,turoyo-2_hunddog-1,kalbo,1,false,expert,,,,
arabic-1_dog-1-1,arabic-1_dog-1,kalb-,1,false,expert,,,,
sabaic-1_dog-1-1,sabaic-1_dog-1,klb,1,false,expert,,,,
hadramitic-1_dog-1-1,hadramitic-1_dog-1,klb,1,false,expert,,,,
geez-1_dog-1-1,geez-1_dog-1,kalb,1,false,expert,,,,
tigre-1_dog-1-1,tigre-1_dog-1,kælǝb,1,false,expert,,,,
tigrinya-1_dog-1-1,tigrinya-1_dog-1,kælbi,1,false,expert,,,,
amharic-1_dog-1-1,amharic-1_dog-1,kælb,1,false,expert,,,,
mehri-3_wolfdog-1-1,mehri-3_wolfdog-1,kawb,1,false,expert,,,,
jibbali-4_dogwolf-1-1,jibbali-4_dogwolf-1,kób,1,false,expert,,,,
harsusi-3_wolfdog-1-1,harsusi-3_wolfdog-1,kawb,1,false,expert,,,,
soqotri-4_dogwolf-1-1,soqotri-4_dogwolf-1,kaḷb,1,false,expert,,,,
ps-5_all-1-1,ps-5_all-1,kal-,2,false,expert,,,,
akkadian-5_all-1-1,akkadian-5_all-1,kalû,2,false,expert,,,,
ugaritic-5_all-1-1,ugaritic-5_all-1,kl,2,false,expert,,,,
hebrew-6_allthewholeeveryone-1-1,hebrew-6_allthewholeeveryone-1,koːl,2,false,expert,,,,
jewishbabylonianaramaic-5_all-1-1,jewishbabylonianaramaic-5_all-1,kullaː,2,false,expert,,,,
syriac-7_alleverysomuch-1-1,syriac-7_alleverysomuch-1,kul,2,false,expert,,,,
mandaic-5_all-1-1,mandaic-5_all-1,kul,2,false,expert,,,,
turoyo-8_jederjedealleganzeachallwhole-1-1,turoyo-8_jederjedealleganzeachallwhole-1,kul,2,false,expert,,,,
arabic-9_allanyone-1-1,arabic-9_allanyone-1,kull-,2,false,expert,,,,
geez-5_all-1-1,geez-5_all-1,kʷəll,2,false,expert,,,,
tigre-5_all-1-1,tigre-5_all-1,kəl,2,false,expert,,,,
tigrinya-5_all-1-1,tigrinya-5_all-1,kʷəllu,2,false,expert,,,,
amharic-5_all-1-1,amharic-5_all-1,hullu,2,false,expert,,,,
harari-5_all-1-1,harari-5_all-1,kullu-,2,false,expert,,,,
soddo-5_all-1-1,soddo-5_all-1,kull-əm,2,false,expert,,,,
mehri-10_allwhoever-1-1,mehri-10_allwhoever-1,kaːl,2,false,expert,,,,
jibbali-5_all-1-1,jibbali-5_all-1,kɔl,2,false,expert,,,,
soqotri-11_eachevery-1-1,soqotri-11_eachevery-1,kaḷ,2,false,expert,,,,
ps-12_toassemble-1-1,ps-12_toassemble-1,pxr,3,false,expert,,,,
akkadian-13_toassembletocongregatetogathercollect-1-1,akkadian-13_toassembletocongregatetogathercollect-1,paxaːru,3,false,expert,,,,
ugaritic-14_assembly-1-1,ugaritic-14_assembly-1,pxr,3,false,expert,,,,
ugaritic-15_wholetotality-1-1,ugaritic-15_wholetotality-1,pxjr,3,false,expert,,,,
phoenician-14_assembly-1-1,phoenician-14_assembly-1,mpħrt,3,false,expert,,,,
palmyrean-16_assemblybanquet-1-1,palmyrean-16_assemblybanquet-1,pħr,3,false,expert,,,,
hatran-16_assemblybanquet-1-1,hatran-16_assemblybanquet-1,pħr,3,false,expert,,,,
syriac-17_banquet-1-1,syriac-17_banquet-1,puħraː,3,false,expert,,,,
mandaic-18_feastbanquet-1-1,mandaic-18_feastbanquet-1,puhra,3,false,expert,,,,
arabic-19_toboasttoglory-1-1,arabic-19_toboasttoglory-1,fxr,3,false,expert,,,,
arabic-20_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein-1-1,arabic-20_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein-1,faxuːr-,3,false,expert,,,,
qatabanian-21_toenterintopartnershiptoassociatewith-1-1,qatabanian-21_toenterintopartnershiptoassociatewith-1,f-t-xr,3,false,expert,,,,
geez-22_toengagetobetrothtoespouse-1-1,geez-22_toengagetobetrothtoespouse-1,faxara,3,false,expert,,,,
mehri-23_together-1-1,mehri-23_together-1,fáxrəh,3,false,expert,,,,
jibbali-23_together-1-1,jibbali-23_together-1,fáxrəh,3,false,expert,,,,
soqotri-5_all-1-1,soqotri-5_all-1,fáħre,3,false,expert,,,,
ps-24_tobite-1-1,ps-24_tobite-1,nθk,4,false,expert,,,,
akkadian-24_tobite-1-1,akkadian-24_tobite-1,naʃaːku,4,false,expert,,,,
ebla-24_tobite-1-1,ebla-24_tobite-1,na-ʃa-gúm,4,false,expert,,,,
ugaritic-24_tobite-1-1,ugaritic-24_tobite-1,nθk,4,false,expert,,,,
hebrew-24_tobite-1-1,hebrew-24_tobite-1,nʃk,4,false,expert,,,,
jewishbabylonianaramaic-24_tobite-1-1,jewishbabylonianaramaic-24_tobite-1,nkt,4,false,expert,,,,
syriac-25_tobitetoinciteprovoke-1-1,syriac-25_tobitetoinciteprovoke-1,nkt,4,false,expert,,,,
mandaic-24_tobite-1-1,mandaic-24_tobite-1,nkt,4,false,expert,,,,
turoyo-26_ibeissentobite-1-1,turoyo-26_ibeissentobite-1,nkt,4,false,expert,,,,
arabic-27_toundotountwisttodissolvetobreakacovenant-1-1,arabic-27_toundotountwisttodissolvetobreakacovenant-1,nkθ,4,false,expert,,,,
sabaic-28_toremovesomethingfromitsplace-1-1,sabaic-28_toremovesomethingfromitsplace-1,nkθ,4,false,expert,,,,
minaean-29_abrogation-1-1,minaean-29_abrogation-1,mnkθt,4,false,expert,,,,
qatabanian-30_onewhoviolatesviolation-1-1,qatabanian-30_onewhoviolatesviolation-1,mnkθ,4,false,expert,,,,
geez-24_tobite-1-1,geez-24_tobite-1,nasaka,4,false,expert,,,,
tigre-24_tobite-1-1,tigre-24_tobite-1,nækʃæ,4,false,expert,,,,
tigrinya-24_tobite-1-1,tigrinya-24_tobite-1,nækæsæ,4,false,expert,,,,
amharic-24_tobite-1-1,amharic-24_tobite-1,nækkæsæ,4,false,expert,,,,
harari-24_tobite-1-1,harari-24_tobite-1,næxæsæ,4,false,expert,,,,
soddo-24_tobite-1-1,soddo-24_tobite-1,nækkæsæ,4,false,expert,,,,
