Grapheme	IPA	Frequence	Codepoints
kᵉ	kᵉ	1	U+006b U+1d49
z͂	z͂	1	U+007a U+0342
̣	<?>	1	U+0323
bᵂ	bᵂ	1	U+0062 U+1d42
lʼ	lʼ	1	U+006c U+02bc
sᵉ	sᵉ	1	U+0073 U+1d49
tˤᵃ	tˤᵃ	1	U+0074 U+02e4 U+1d43
ḷʸ	l̩ʲ	1	U+1e37 U+02b8
gʸ	gʲ	1	U+0067 U+02b8
æː̨	æː̨	1	U+00e6 U+02d0 U+0328
ą̈	<?>	1	U+0105 U+0308
ū	ū	1	U+016b
rᵉ	rᵉ	1	U+0072 U+1d49
